Coin,XRP,XRP,XRP,XRP,XRP,XRP,BTC,BTC,BTC,BTC,BTC,BTC,ETH,ETH,ETH,ETH,ETH,ETH
12/4/17,0.57%,0.25,0.2345,0.2448,0.2462,16.79M,3.93%,11598,10788,11162,11595,63.74K,1.20%,471.06,439.27,459.49,465,123.19K
12/5/17,-5.12%,0.2472,0.232,0.2462,0.2336,18.44M,0.00%,11949,11414,11611,11595,48.94K,-2.82%,467.38,444.17,465,451.87,187.53K
12/6/17,-7.15%,0.2342,0.2059,0.2336,0.2169,42.00M,16.66%,13598,11590,11590,13527,83.59K,-8.44%,454.23,403,451.87,413.71,367.19K
12/7/17,-6.69%,0.22,0.2,0.2169,0.2024,55.11M,22.72%,16639,13154,13500,16601,141.26K,0.32%,429,390,413.71,415.02,322.00K
12/8/17,15.07%,0.249,0.2,0.2024,0.2329,92.75M,-4.41%,17160,13774,16608,15869,124.11K,6.55%,453.61,400.34,415.02,442.19,318.98K
12/9/17,1.55%,0.245,0.2275,0.2329,0.2365,29.98M,-7.62%,16300,13021,15829,14660,77.82K,4.24%,487.8,441,442.19,460.92,322.50K
12/10/17,-3.68%,0.2376,0.2212,0.2365,0.2278,20.27M,2.30%,15728,12748,14660,14997,107.05K,-6.87%,460.92,413.3,460.92,429.24,250.23K
12/11/17,7.55%,0.2504,0.2278,0.2278,0.245,20.69M,11.72%,17443,14937,14937,16754,78.09K,20.04%,531.2,429.14,429.24,515.25,224.21K
12/12/17,41.80%,0.4205,0.24,0.245,0.3474,116.61M,1.27%,17500,16234,16754,16967,52.09K,23.22%,646.92,497.75,515.25,634.87,425.21K
12/13/17,29.82%,0.4927,0.32,0.3474,0.451,132.92M,-4.63%,17288,15674,17010,16181,62.88K,8.79%,742,573,634.87,690.69,686.14K
12/14/17,81.15%,0.847,0.446,0.451,0.817,143.37M,1.25%,16999,15870,16122,16383,45.72K,-0.61%,760,651,690.69,686.51,494.41K
12/15/17,-9.74%,0.825,0.6154,0.817,0.7374,87.98M,6.95%,18098,16352,16396,17522,63.11K,-1.20%,698.31,610,686.51,678.29,360.05K
12/16/17,0.35%,0.813,0.72,0.7374,0.74,41.17M,9.50%,19548,17098,17569.55,19187,48.27K,0.73%,711.96,672.51,678.29,683.25,200.94K
12/17/17,-3.78%,0.753,0.701,0.74,0.712,28.42M,-1.13%,19891,18622,19210,18971,51.80K,3.74%,725,683.24,683.25,708.78,210.62K
12/18/17,6.29%,0.7913,0.66,0.712,0.7568,45.64M,-0.20%,19171,18010,18959,18934,53.58K,10.61%,798.9,660,708.78,783.99,420.29K
12/19/17,-3.33%,0.841,0.6858,0.7568,0.7316,44.64M,-8.39%,18987,16500,18931,17345,66.65K,2.04%,863,750.01,783.99,799.98,518.29K
12/20/17,-2.28%,0.746,0.635,0.7316,0.7149,35.03M,-5.30%,17709,15500,17340,16425,82.16K,-0.62%,826.2,709,799.98,794.99,423.20K
12/21/17,52.47%,1.11,0.714,0.7149,1.09,91.16M,-4.62%,17333,14827,16433,15666.83,65.58K,-1.01%,848.08,747.1,794.99,786.97,341.95K
12/22/17,-9.36%,1.23,0.69,1.09,0.988,114.41M,-15.94%,15826,10718,15650,13170,179.00K,-20.18%,792,492.01,786.97,628.19,780.15K
12/23/17,-0.24%,1.07,0.92,0.988,0.9856,30.79M,6.57%,14986,12755,13173,14035,59.92K,7.07%,717,616.19,628.19,672.59,240.69K
12/24/17,-1.40%,0.9938,0.8024,0.9856,0.9718,31.76M,-3.98%,14047,11601.18,14036,13476,72.38K,-1.89%,675,560,672.59,659.89,312.62K
12/25/17,0.02%,1.02,0.9125,0.9718,0.972,12.03M,1.09%,14278,12678,13517,13623,45.61K,7.56%,737,651.76,659.89,709.81,218.49K
12/26/17,10.08%,1.1,0.9621,0.972,1.07,16.36M,15.09%,16048,13550,13627,15679,63.44K,5.63%,749.8,708.83,709.81,749.8,149.07K
12/27/17,13.08%,1.29,1.06,1.07,1.21,44.83M,-1.95%,16494,14463,15680,15374,54.99K,-1.78%,766.06,703.27,749.8,736.45,167.81K
12/28/17,2.48%,1.29,1.07,1.21,1.24,33.08M,-6.89%,15467,13232,15374,14315,72.89K,-3.40%,740.3,652,736.45,711.42,255.38K
12/29/17,54.84%,1.97,1.24,1.24,1.92,65.04M,0.01%,15105,13847,14323,14317,48.01K,2.83%,755,703.02,711.42,731.52,204.82K
12/30/17,-4.69%,2.4,1.74,1.92,1.83,78.98M,-13.55%,14403,11690,14308,12377,75.43K,-6.74%,737.56,640.43,731.52,682.22,267.70K
12/31/17,7.65%,2.09,1.5,1.83,1.97,34.43M,11.50%,14140,12183.88,12385,13800,43.29K,8.00%,741.99,675.56,682.22,736.77,153.38K
1/1/18,3.05%,2.1,1.8,1.97,2.03,13.77M,-3.23%,13893,12787,13794,13354,29.54K,2.13%,762,717.94,736.77,752.46,121.56K
1/2/18,7.88%,2.2,1.9,2.03,2.19,24.00M,10.15%,15300,12810,13448,14709.82,56.18K,14.13%,890,752.46,752.46,858.78,420.96K
1/3/18,24.20%,2.86,2.15,2.19,2.72,32.14M,3.03%,15428,14522,14713,15155,38.35K,9.69%,954.73,840,858.78,942.01,310.54K
1/4/18,0.37%,3.28,2.45,2.72,2.73,44.43M,0.03%,15390,14064,15150,15160,46.47K,-0.21%,997,893.24,942.01,940,348.62K
1/5/18,-8.42%,3.05,2.2,2.73,2.5,34.75M,11.59%,17101,14769,15159,16917,54.63K,2.42%,1023.6,930,939.3,962.77,298.24K
1/6/18,6.00%,2.85,2.45,2.5,2.65,11.26M,1.44%,17252,16251,16911,17161,29.61K,4.31%,1014.2,951.38,962.77,1004.3,127.79K
1/7/18,4.53%,2.81,2.56,2.65,2.77,9.10M,-5.62%,17176,15726,17163,16196,30.84K,11.10%,1116,999.5,1004.3,1115.8,199.83K
1/8/18,-13.36%,2.77067,1.91111,2.77067,2.4,20.76M,-7.82%,16279,13760,16216,14930,64.95K,1.21%,1225,968.12,1115.9,1129.3,439.43K
1/9/18,-14.98%,2.481,1.9,2.4,2.04055,18.91M,-3.40%,15355,14122,14902,14423,43.44K,13.67%,1299,1119.1,1129.4,1283.7,296.90K
1/10/18,-5.91%,2.118,1.6132,2.05,1.92,30.46M,3.28%,14896,13338,14426,14896,57.33K,-2.78%,1381.9,1203.2,1285.7,1248,380.43K
1/11/18,0.52%,2.267,1.54,1.94415,1.93,45.04M,-10.94%,14949.8,12639,14895,13266,71.70K,-9.01%,1331.8,1102.5,1245.9,1135.5,360.57K
1/12/18,4.30%,2.15,1.79,1.92446,2.013,15.70M,3.90%,14095,12778,13248,13783,37.42K,10.72%,1285,1083.4,1135.1,1257.2,209.24K
1/13/18,-1.14%,2.095,1.94701,2.013,1.99,7.95M,2.96%,14580,13760,13794,14191,29.01K,9.77%,1423.2,1252.6,1257,1380,202.78K
1/14/18,-8.54%,1.99,1.74,1.99,1.82,8.60M,-4.46%,14391,12874.34,14190,13558,35.60K,-2.17%,1385,1256,1379.9,1350,176.75K
1/15/18,-9.07%,1.8715,1.62,1.82,1.655,5.86M,0.13%,14350,13307,13558,13575,33.46K,-5.67%,1377.9,1264.4,1349.9,1273.4,137.68K
1/16/18,-30.96%,1.67763,0.85,1.655,1.14263,69.78M,-18.44%,13604,9949.4,13594,11072,131.86K,-19.89%,1278.8,868.98,1275.8,1020.1,672.02K
1/17/18,15.52%,1.386,0.87,1.14263,1.32,73.01M,0.09%,11490,9231.1,11059,11082,132.23K,-0.25%,1088.3,770.1,1019.6,1017.5,686.58K
1/18/18,17.12%,1.72042,1.2,1.32,1.546,49.19M,-0.33%,11881,10515,11101,11045,85.24K,-2.23%,1079,940,1020.1,994.81,374.07K
1/19/18,-1.55%,1.67,1.44406,1.546,1.522,19.73M,3.90%,11879,10649,11036,11476,48.55K,3.80%,1079,960.1,993.92,1032.6,174.91K
1/20/18,2.50%,1.62347,1.461,1.522,1.56,11.92M,10.91%,13002,11425,11462,12728,46.30K,10.98%,1160,1029.6,1032.6,1146,163.86K
1/21/18,-13.21%,1.56791,1.3,1.56,1.354,16.89M,-9.54%,12732,11020,12732,11514,53.62K,-8.64%,1146.3,1001.5,1146.3,1047,197.63K
1/22/18,-1.03%,1.41102,1.13031,1.354,1.34,22.90M,-6.45%,11886,10009,11519,10771,66.35K,-4.96%,1084.1,912.76,1047,995.08,238.82K
1/23/18,-0.49%,1.4342,1.17493,1.34,1.3335,23.42M,0.45%,11383,9901.1,10770,10819,63.85K,-1.22%,1022,905.38,995.26,982.98,228.08K
1/24/18,1.31%,1.42022,1.2822,1.3335,1.351,12.81M,5.50%,11529,10454,10811,11414,43.82K,8.16%,1068.8,952.04,982.11,1063.2,173.18K
1/25/18,-3.70%,1.375,1.272,1.351,1.301,7.75M,-2.35%,11723,10857,11402,11146,34.44K,-1.41%,1102.4,1025.1,1061.8,1048.2,162.09K
1/26/18,-7.30%,1.32082,1.1001,1.301,1.20599,16.51M,-0.68%,11647,10298,11144,11070,56.75K,-0.11%,1078.6,983,1048.2,1047,138.71K
1/27/18,1.06%,1.24473,1.17286,1.20599,1.21879,7.89M,3.53%,11683,10822,11068,11461,34.40K,6.48%,1125.3,1031.6,1046.9,1114.8,105.76K
1/28/18,12.41%,1.4,1.21416,1.21879,1.37,12.81M,3.30%,12181,11398,11455.13,11839,29.62K,11.82%,1264.8,1109,1114.7,1246.6,189.36K
1/29/18,-7.21%,1.37905,1.2509,1.37,1.27127,8.38M,-5.30%,11957,11074,11836,11212,25.65K,-5.74%,1259.8,1155.9,1245.5,1175,139.56K
1/30/18,-12.52%,1.27127,1.08807,1.27127,1.1121,14.64M,-9.25%,11250,9864.9,11215,10175,61.28K,-8.43%,1178.8,1041,1174.3,1076,246.88K
1/31/18,2.36%,1.14941,1.02578,1.1121,1.1384,9.32M,1.07%,10411,9761,10170,10284,43.23K,4.21%,1128.7,1027.8,1076.8,1121.3,136.70K
2/1/18,-15.14%,1.15067,0.905,1.1384,0.966,15.02M,-10.72%,10311,8941,10278,9181.1,78.78K,-7.58%,1167,985.01,1120.7,1036.3,285.60K
2/2/18,-6.43%,0.9688,0.67179,0.966,0.90388,41.10M,-3.11%,9201,7972.2,9181,8895.8,123.34K,-10.90%,1038.7,769.99,1036.2,923.3,520.79K
2/3/18,6.12%,1.02,0.77834,0.90388,0.95916,19.38M,3.64%,9495,8189.6,8887.1,9219.4,51.91K,5.32%,999,845,923.2,972.4,211.35K
2/4/18,-14.90%,0.9671,0.77931,0.95916,0.81624,13.53M,-11.06%,9403.3,7840,9225.07,8200,74.42K,-14.65%,972.69,776,972.19,829.98,340.10K
2/5/18,-16.19%,0.83452,0.64,0.81624,0.6841,27.62M,-15.25%,8378,6658.8,8185.2,6949.9,131.29K,-15.83%,858,641.01,827.9,698.62,547.57K
2/6/18,11.39%,0.78049,0.57227,0.6841,0.762,39.17M,10.42%,7860,6000,6946.6,7673.8,192.76K,11.88%,798.7,566,698.62,781.6,790.23K
2/7/18,-5.91%,0.822,0.6971,0.76764,0.717,15.43M,-1.13%,8488.2,7175.1,7679.4,7587,106.70K,-3.88%,848.6,716.3,782.99,751.25,416.98K
2/8/18,8.90%,0.78975,0.708,0.715,0.7808,10.90M,8.54%,8648.8,7579.6,7585,8235.1,77.62K,8.25%,845.88,749.88,752.88,813.2,236.13K
2/9/18,18.06%,0.92968,0.74,0.7808,0.92183,16.58M,5.44%,8748,7734.7,8240,8683.2,63.03K,8.08%,881.69,780.53,814.01,878.9,182.42K
2/10/18,11.48%,1.23,0.905,0.92183,1.02769,41.47M,-1.38%,9074.3,8152.1,8678.1,8563.1,68.15K,-3.06%,908.99,815.52,878.01,852,165.70K
2/11/18,-6.74%,1.03902,0.892,1.02769,0.9584,22.62M,-5.77%,8569,7851,8563,8069,52.21K,-4.85%,854.5,778.52,851.66,810.64,146.90K
2/12/18,8.76%,1.0764,0.9584,0.9584,1.0424,14.31M,10.31%,9000,8070,8070,8900.6,51.40K,6.88%,876.52,810.64,810.64,866.4,130.22K
2/13/18,-5.44%,1.04815,0.96333,1.0424,0.98573,8.27M,-4.32%,8952.8,8339.7,8902.9,8515.9,39.51K,-3.08%,869.26,821.57,866.4,839.69,130.39K
2/14/18,14.34%,1.154,0.97816,0.98573,1.12706,15.84M,11.03%,9488,8512.6,8515.9,9455.4,50.36K,9.46%,922,839.69,839.69,919.11,199.27K
2/15/18,-1.97%,1.14252,1.0655,1.12706,1.10488,13.29M,5.73%,10175,9338.8,9454.3,9996.9,67.53K,0.78%,945,903.2,919.13,926.32,205.52K
2/16/18,0.67%,1.11787,1.063,1.10488,1.11225,5.90M,1.65%,10270,9674.9,9996,10162,43.89K,1.19%,944,907,925.02,937.38,134.07K
2/17/18,5.63%,1.2,1.10182,1.11225,1.1749,8.72M,8.77%,11083,10050,10161,11053.46,52.80K,3.83%,973.55,933.52,937.37,973.28,124.67K
2/18/18,-9.34%,1.1785,1.0382,1.1749,1.0652,9.88M,-6.17%,11250,10122,11062,10372,69.83K,-6.27%,979,901,973.29,912.21,184.03K
2/19/18,3.90%,1.1328,1.0652,1.0652,1.10673,4.44M,7.72%,11250,10308,10398,11173,50.74K,2.96%,955.84,909.4,913.1,939.18,118.34K
2/20/18,-7.63%,1.1328,1.00756,1.10673,1.02233,9.13M,0.40%,11776,11101,11172,11218,60.92K,-5.82%,958.99,875,939.19,884.51,150.18K
2/21/18,-7.30%,1.042,0.93618,1.02233,0.94775,11.22M,-6.80%,11239,10200,11216,10455,76.96K,-5.28%,903.33,815.32,884.5,837.79,220.26K
2/22/18,-6.09%,0.99924,0.861,0.94775,0.89,10.92M,-5.98%,10912,9740,10453.22,9830,71.23K,-4.17%,868.94,788,837.8,802.85,180.65K
2/23/18,5.32%,0.98235,0.85001,0.89,0.93731,7.80M,3.20%,10395,9583.9,9826.5,10145,59.07K,6.22%,881.2,787,802.85,852.79,162.83K
2/24/18,-3.98%,0.96825,0.86818,0.93731,0.9,6.52M,-4.72%,10499,9350.3,10144,9666.3,55.70K,-2.50%,872.99,808.17,852.68,831.51,147.41K
2/25/18,0.11%,0.92298,0.873,0.9,0.901,4.33M,-1.13%,9840,9284.3,9666.3,9557.4,30.52K,0.84%,848.38,816.13,831.51,838.47,101.28K
2/26/18,3.11%,0.942,0.87376,0.901,0.92898,4.52M,7.99%,10437,9359.9,9583,10321,45.94K,3.49%,881.6,831.9,838.71,867.76,136.60K
2/27/18,-0.21%,0.95575,0.9175,0.92898,0.927,3.28M,2.40%,10880,10133,10320,10569,39.72K,0.41%,895,862.08,868.6,871.36,93.51K
2/28/18,-4.47%,0.9467,0.88005,0.927,0.88554,3.51M,-2.40%,11063,10270,10583,10315,43.89K,-2.31%,888.46,850.75,871.2,851.26,93.98K
3/1/18,3.23%,0.9485,0.874,0.88554,0.91415,3.88M,5.91%,11087,10224,10316,10925,33.87K,2.11%,881.3,845.61,851.25,869.24,90.09K
3/2/18,-1.64%,0.92109,0.88569,0.91415,0.89916,2.38M,0.92%,11189,10766,10908,11025,28.86K,-1.70%,879.37,849.73,869.23,854.5,58.05K
3/3/18,0.00%,0.9212,0.887,0.89916,0.89912,2.35M,3.76%,11526,11024,11024,11440,30.65K,0.09%,868.7,852.63,854.79,855.3,40.49K
3/4/18,12.01%,1.03,0.89,0.89912,1.00708,6.16M,0.53%,11544,11061,11454,11501,28.07K,1.26%,868.26,835.58,855.29,866.07,45.12K
3/5/18,-6.08%,1.09,0.942,1.00708,0.94582,17.25M,-0.74%,11696,11390,11497,11416,27.56K,-2.11%,870,847.76,866.06,847.76,55.13K
3/6/18,-4.84%,0.98133,0.891,0.94108,0.90001,11.94M,-6.10%,11403,10578,11403,10720,44.24K,-3.71%,850,803.59,848.14,816.31,89.00K
3/7/18,-5.46%,0.91233,0.7863,0.90001,0.85087,12.91M,-7.62%,10899,9422.09,10779,9902.9,75.22K,-8.22%,824.23,725.01,816.48,749.21,174.36K
3/8/18,-5.43%,0.87,0.79566,0.85087,0.80469,5.58M,-6.09%,10109,9037,9910.7,9300,67.75K,-6.93%,770,688.01,749.2,697.31,146.74K
3/9/18,2.03%,0.841,0.72929,0.80469,0.821,9.63M,-0.89%,9420.5,8351,9301.9,9217,98.20K,3.92%,727.81,639.04,697.3,724.61,229.75K
3/10/18,-5.72%,0.84,0.768,0.821,0.774,3.81M,-4.94%,9500,8691.1,9216.2,8762,52.54K,-6.20%,745,676.27,724.62,679.68,117.94K
3/11/18,4.99%,0.83,0.75,0.774,0.81265,5.85M,8.74%,9726.1,8429,8764.4,9528,70.48K,5.91%,734.2,660.15,679.68,719.86,139.84K
3/12/18,-4.01%,0.828,0.765,0.81265,0.7801,3.79M,-4.27%,9894.7,8776.8,9528,9121,67.58K,-3.24%,739.84,676.34,719.85,696.52,123.67K
3/13/18,-0.58%,0.7996,0.76066,0.7801,0.7756,3.69M,0.15%,9479,8827.7,9130.2,9135,61.54K,-1.15%,713.99,676.8,696.51,688.5,132.60K
3/14/18,-11.13%,0.78993,0.6523,0.7756,0.68928,6.32M,-10.38%,9400.1,7923.8,9135.2,8186.6,78.81K,-11.27%,702.41,585.34,689.1,610.92,205.41K
3/15/18,-1.02%,0.72333,0.628,0.68928,0.68226,6.62M,0.81%,8416.7,7666.3,8181.3,8252.9,82.58K,-0.17%,619.82,568.29,610.91,609.9,223.87K
3/16/18,-0.33%,0.71129,0.658,0.68226,0.68,4.43M,-0.02%,8602.7,7903.2,8250.1,8251,56.34K,-1.70%,626.04,584.5,609.91,599.56,133.52K
3/17/18,-7.56%,0.683,0.614,0.68,0.62861,5.47M,-4.85%,8350.1,7729.5,8250,7851,48.97K,-8.43%,609.36,543.3,598.77,549,141.33K
3/18/18,3.14%,0.685,0.53771,0.62861,0.64833,10.37M,4.45%,8285.6,7240,7832,8200.2,88.92K,-2.23%,560.99,453.65,548.82,536.73,661.85K
3/19/18,11.67%,0.7247,0.62561,0.64833,0.724,8.97M,4.88%,8689.9,8100,8209,8600.1,73.28K,3.40%,557.99,514.95,536.73,554.99,346.87K
3/20/18,-3.60%,0.724,0.658,0.724,0.6979,8.12M,3.48%,9025,8309.6,8600.2,8899.7,54.28K,0.25%,566.28,516.09,555,556.38,226.63K
3/21/18,-2.56%,0.70882,0.66059,0.6979,0.68,7.11M,0.00%,9175.2,8755.7,8899.8,8900.1,42.86K,0.66%,590,544.59,556.38,560.04,185.47K
3/22/18,-4.41%,0.69093,0.62082,0.68,0.65,5.17M,-2.18%,9088,8453.1,8888.6,8706.44,54.42K,-3.72%,577.27,515.36,559.22,539.19,181.65K
3/23/18,-1.38%,0.654,0.61231,0.65,0.641,3.77M,2.32%,8910,8272.8,8703.8,8908,44.91K,0.76%,543.66,505.72,539.2,543.28,193.13K
3/24/18,-2.14%,0.67871,0.6273,0.641,0.6273,3.45M,-4.19%,9040.2,8463,8911.4,8535,44.21K,-4.51%,545.24,518,543.86,518.8,108.76K
3/25/18,0.90%,0.654,0.6167,0.62737,0.63292,2.77M,-1.05%,8673.9,8373,8525,8445.1,30.69K,0.70%,535.65,513.06,519.05,522.41,81.71K
3/26/18,-7.10%,0.6382,0.57438,0.63292,0.588,6.91M,-3.86%,8496.4,7839.09,8445,8119.1,56.38K,-7.16%,525.37,466.9,522.41,485,224.43K
3/27/18,-3.31%,0.6025,0.557,0.588,0.56851,4.55M,-4.12%,8209,7727,8128,7784.5,50.41K,-7.66%,491.35,446.1,485.2,447.85,310.88K
3/28/18,0.43%,0.588,0.56411,0.56851,0.57098,2.56M,1.95%,8118,7725,7784.5,7936.1,35.08K,-0.55%,465.52,439.99,448.19,445.37,165.08K
3/29/18,-11.84%,0.57491,0.49545,0.57098,0.50335,7.60M,-10.61%,7963.9,6897.2,7936,7094,77.41K,-13.75%,448,379.6,445.37,384.11,470.08K
3/30/18,-0.23%,0.52512,0.47006,0.50335,0.50218,8.97M,-3.57%,7267.3,6533,7091.5,6840.4,108.25K,2.34%,411.12,364.66,384.1,393.09,501.96K
3/31/18,-1.03%,0.52133,0.4927,0.50218,0.497,4.63M,1.24%,7221.9,6782.9,6838.1,6925.3,68.02K,-0.03%,418.5,389,393.08,392.97,273.24K
4/1/18,-4.23%,0.50756,0.4546,0.497,0.476,5.63M,-1.66%,7035.1,6432.4,6925.4,6810,54.90K,-3.64%,398.84,358.01,393.37,378.67,325.75K
4/2/18,3.76%,0.50389,0.471,0.476,0.4939,3.46M,3.56%,7121.4,6770.2,6813.1,7052.7,44.01K,1.80%,393.99,375.26,378.68,385.5,196.17K
4/3/18,10.75%,0.5527,0.49192,0.4939,0.547,6.85M,5.00%,7509.6,7020,7073.8,7405.6,49.86K,7.76%,417.88,379.83,386.16,415.43,223.28K
4/4/18,-10.78%,0.5523,0.48505,0.547,0.48801,6.77M,-8.37%,7422,6670,7403.3,6785.9,53.72K,-9.01%,416.54,369.82,415.41,377.99,256.60K
4/5/18,0.64%,0.49646,0.47417,0.48801,0.49113,2.22M,-0.31%,6911,6571.9,6785.8,6765,45.85K,0.79%,387.1,366.12,378,380.98,182.50K
4/6/18,-3.58%,0.49425,0.4577,0.49113,0.47358,2.62M,-2.29%,6851.5,6501.1,6767.2,6610.2,42.14K,-2.95%,385.44,363.03,380.99,369.73,151.02K
4/7/18,2.43%,0.49604,0.46947,0.47358,0.4851,2.86M,4.27%,7075.4,6599.9,6610,6892.6,40.61K,3.90%,394.59,368.85,369.74,384.16,143.72K
4/8/18,2.66%,0.5009,0.48357,0.4851,0.498,1.46M,1.90%,7114.8,6883,6892.62,7023.9,29.33K,4.21%,404.07,384.16,384.16,400.34,134.99K
4/9/18,-2.85%,0.51145,0.4751,0.498,0.48382,4.61M,-3.69%,7187.4,6611,7024,6764.6,75.96K,-0.39%,430.73,387.31,400.33,398.79,329.86K
4/10/18,1.38%,0.49857,0.4775,0.48382,0.49048,2.35M,1.10%,6890.6,6650,6770.9,6839.3,26.15K,4.09%,417.9,391,398.84,415.12,146.65K